식당이미지(ID),식당(ID),식당명,지역명,식당이미지(URL),식당상태
3029,217493,골목식당포차,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/217493_1661188493.jpg,운영중
3032,217565,강원도고성집,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/217565_14931247.jpg,폐업
3033,217565,강원도고성집,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/217565_275712054.jpg,폐업
3046,218428,김프로퓨전포차,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/218428_1313049676.jpg,폐업
3060,218791,오븐위고양이,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/218791_1398177289.jpg,운영중
3061,218791,오븐위고양이,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/218791_423061296.jpg,운영중
3065,219524,집들이,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/219524_1157501452.jpg,운영중
3066,219524,집들이,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/219524_1567721580.jpg,운영중
3118,222337,소니도,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/222337_1379790033.jpg,운영중
3119,222337,소니도,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/222337_1791818368.jpg,운영중
3120,222403,정육점옆 구이가게,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/222403_1666272191.jpg,미확인
3121,222403,정육점옆 구이가게,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/222403_863122323.jpg,미확인
3127,223187,카페하소,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/223187_1102085568.jpg,미확인
3128,223187,카페하소,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/223187_1177210214.jpg,미확인
3136,224571,아리랑반점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/224571_962214135.jpg,미확인
3137,224571,아리랑반점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/224571_1250534310.jpg,미확인
3147,225162,신길태능숯불갈비,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/225162_2046574703.jpg,운영중
3148,225162,신길태능숯불갈비,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/225162_247621495.jpg,운영중
3228,228584,서울별미 칼국수짬뽕,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/228584_273993649.jpg,운영중
3229,228584,서울별미 칼국수짬뽕,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/228584_1718831293.jpg,운영중
3233,229144,한솥도시락,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/229144_1097423892.jpg,운영중
3234,229144,한솥도시락,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/229144_784039134.jpg,운영중
3241,229880,토담칼국수,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/229880_622899908.jpg,미확인
3242,229880,토담칼국수,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/229880_1248037407.jpg,미확인
